Date,United_Kingdom,England,Scotland,Wales,Northern_Ireland
01/11/2016,5.332313,5.7454247,1.7166146,3.7620077,5.3080454
01/12/2016,5.162781,5.619502,1.1000541,3.4776342,5.3080454
01/01/2017,4.759109,5.0972943,1.1448613,4.5562496,4.99369
01/02/2017,4.9339824,5.4702744,1.0295097,2.1896646,4.99369
01/03/2017,3.6448634,4.0853434,0.475519,4.362007,4.99369
01/04/2017,4.892635,5.02145,3.4042594,5.618815,3.1880975
01/05/2017,4.3065114,4.5754523,2.7590904,2.1703317,3.1880975
01/06/2017,4.2026844,4.4499006,2.424068,2.6948926,3.1880975
01/07/2017,4.4588366,4.56433,3.7051554,3.1947284,3.3250692
01/08/2017,4.923753,4.9541078,4.509819,5.1418314,3.3250692
01/09/2017,4.691817,4.8485575,2.844432,5.6909246,3.3250692
01/10/2017,5.1308465,5.2443104,3.88665,5.710738,3.632104
01/11/2017,4.3417244,4.3421073,3.9034812,4.6701417,3.632104
01/12/2017,4.5615563,4.508365,5.086601,5.018339,3.632104
01/01/2018,4.3212614,4.0883074,6.1676774,4.599712,4.412278
01/02/2018,4.3735867,3.9939773,7.3312182,5.0562716,4.412278
01/03/2018,3.9657938,3.740059,5.6716876,4.213877,4.412278
01/04/2018,3.324433,3.1381698,5.1991687,2.45096,3.8658257
01/05/2018,3.128024,2.8380132,4.61084,4.9705157,3.8658257
01/06/2018,2.9399672,2.6688786,4.404807,4.302222,3.8658257
01/07/2018,2.8782058,2.723777,2.8534038,5.030317,4.4549036
01/08/2018,2.7286189,2.4694238,3.330551,5.3411107,4.4549036
01/09/2018,2.9165742,2.564716,4.7851706,4.5934544,4.4549036
01/10/2018,2.7183976,2.3775892,4.4597654,3.8198054,5.5265813
01/11/2018,2.5714247,2.4280767,2.1905766,4.6040487,5.5265813
01/12/2018,1.9523729,1.6513036,2.0888522,5.490212,5.5265813
01/01/2019,1.6792883,1.4849305,1.9606827,3.53929,3.9465768
01/02/2019,1.1581129,1.0072945,0.6231838,3.7903683,3.9465768
01/03/2019,1.488917,1.062615,3.4359097,3.818912,3.9465768
01/04/2019,1.2567657,0.93488663,1.5949131,5.132799,3.682985
01/05/2019,0.9818872,0.6090079,1.8811629,4.4409223,3.682985
01/06/2019,0.74171054,0.36076647,1.8136837,3.85285,3.682985
01/07/2019,0.6190358,0.19644572,1.9756193,3.6653235,3.876352
01/08/2019,0.63322544,0.2418943,1.3518151,4.4657774,3.876352
01/09/2019,0.8994865,0.5593147,2.263787,2.5890613,3.876352
01/10/2019,0.7402986,0.43770987,1.6004281,3.3087914,2.5310147
01/11/2019,0.8146804,0.3755831,1.9872347,5.218615,2.5310147
01/12/2019,0.9138199,0.7146712,1.3479885,2.6035643,2.5310147
01/01/2020,1.6512084,1.4004636,2.4836786,3.0046635,4.0995054
01/02/2020,1.3590021,1.0572501,1.7425075,4.5910826,4.0995054
01/03/2020,2.6707067,2.7121003,1.0115812,4.878241,4.0995054
01/04/2020,0.6963293,0.7462608,0.4445728,-0.7489819,3.0055964
01/05/2020,1.0409566,1.0290425,0.8229588,0.7182667,3.0055964
01/06/2020,2.1267486,2.09257,1.8128334,2.881022,3.0055964
01/07/2020,1.9689598,2.176763,-0.29790485,3.0643842,2.407956
01/08/2020,3.0695503,3.362808,0.5950733,3.7295613,2.407956
01/09/2020,4.188576,4.283752,3.8799343,4.0486417,2.407956
01/10/2020,5.8991528,5.890696,6.644648,6.3098364,2.407956
01/11/2020,7.554296,7.6149044,8.638239,6.9502907,2.407956
