Area code,Region Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E12000001,North East,1009,1143,1246,1303,1260,1218,1229,1174,1179,1176,1201,1214,1236
E12000002,North West,1077,1214,1343,1437,1379,1325,1359,1318,1326,1334,1386,1432,1490
E12000003,Yorkshire and The Humber,1113,1256,1377,1469,1403,1352,1398,1354,1357,1368,1421,1469,1534
E12000004,East Midlands,1300,1387,1453,1523,1444,1370,1423,1397,1411,1444,1527,1605,1710
E12000005,West Midlands,1358,1450,1542,1612,1544,1477,1553,1511,1526,1558,1626,1696,1793
E12000006,East,1770,1848,1944,2106,2014,1869,2044,2012,2052,2100,2263,2497,2740
E12000007,London,2522,2609,2782,3116,3068,2882,3239,3290,3398,3636,4137,4564,5105
E12000008,South East,2040,2111,2229,2433,2357,2187,2429,2392,2439,2521,2730,2970,3265
E12000009,South West,1725,1802,1906,2061,1957,1826,1966,1936,1957,1992,2105,2230,2370
W92000004,Wales,1059,1186,1285,1356,1281,1233,1249,1225,1226,1230,1284,1313,1365
E92000001,England,1502,1618,1739,1861,1784,1718,1843,1802,1829,1864,1954,2066,2172
K04000001,England and Wales,1475,1593,1712,1832,1753,1689,1806,1766,1792,1824,1911,2016,2115
