Region code,Region name,LA code,LA name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E12000001,North East,E06000001,Hartlepool,757,937,1068,1178,1116,1036,1055,1012,987,994,987,1006,991
E12000001,North East,E06000002,Middlesbrough,767,907,1080,1170,1116,1140,1073,1046,1058,1039,1099,1116,1114
E12000001,North East,E06000003,Redcar and Cleveland,942,1108,1193,1247,1199,1192,1179,1146,1151,1166,1193,1198,1177
E12000001,North East,E06000004,Stockton-on-Tees,1005,1149,1242,1316,1265,1234,1249,1193,1238,1211,1256,1255,1249
E12000001,North East,E06000005,Darlington,1050,1158,1231,1298,1303,1230,1250,1186,1158,1183,1223,1202,1242
E12000002,North West,E06000006,Halton,1071,1206,1272,1328,1282,1205,1224,1190,1185,1234,1239,1267,1322
E12000002,North West,E06000007,Warrington,1410,1548,1559,1668,1558,1468,1549,1533,1533,1552,1610,1697,1718
E12000002,North West,E06000008,Blackburn with Darwen,769,901,1021,1118,1096,1031,1049,994,1007,993,989,1026,1043
E12000002,North West,E06000009,Blackpool,1027,1153,1233,1286,1203,1117,1117,1056,1046,1022,1050,1060,1089
E12000003,Yorkshire and The Humber,E06000010,City of Kingston upon Hull,670,802,930,1025,990,935,979,936,944,972,1013,1040,1105
E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,1256,1355,1442,1527,1493,1375,1426,1407,1390,1392,1446,1496,1581
E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,789,877,987,1093,1047,1048,1054,998,1008,1004,1049,1062,1114
E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,996,1132,1156,1212,1200,1129,1156,1102,1093,1102,1130,1175,1235
E12000003,Yorkshire and The Humber,E06000014,York,1732,1827,1951,2134,1985,1901,2047,2031,2067,2114,2249,2440,2594
E12000004,East Midlands,E06000015,City of Derby,1209,1313,1382,1461,1358,1287,1313,1300,1307,1375,1447,1484,1562
E12000004,East Midlands,E06000016,Leicester,1234,1294,1360,1450,1405,1286,1350,1349,1334,1374,1443,1506,1637
E12000004,East Midlands,E06000017,Rutland,1692,1757,1804,1956,1940,1744,1907,1860,1870,1932,2064,2171,2323
E12000004,East Midlands,E06000018,City of Nottingham,1157,1252,1282,1276,1200,1140,1151,1110,1143,1150,1268,1310,1401
E12000005,West Midlands,E06000019,Herefordshire,1553,1661,1754,1865,1772,1679,1783,1750,1744,1740,1820,1913,1990
E12000005,West Midlands,E06000020,Telford and Wrekin,1256,1322,1407,1476,1449,1367,1412,1376,1378,1384,1433,1477,1526
E12000005,West Midlands,E06000021,Stoke-on-Trent,809,940,1028,1101,1083,994,1007,967,994,1007,1024,1064,1113
E12000009,South West,E06000022,Bath and North East Somerset,1950,2027,2151,2327,2237,2092,2320,2324,2378,2467,2622,2820,3103
E12000009,South West,E06000023,City of Bristol,1550,1612,1764,1987,1857,1711,1857,1844,1898,1960,2177,2381,2703
E12000009,South West,E06000024,North Somerset,1711,1788,1887,2046,1951,1843,1970,1964,1972,2020,2166,2302,2506
E12000009,South West,E06000025,South Gloucestershire,1768,1845,1951,2175,2027,1847,1996,1958,2005,2076,2243,2427,2640
E12000009,South West,E06000026,City of Plymouth,1256,1407,1488,1627,1519,1422,1508,1473,1513,1552,1631,1668,1712
