Region code,Region name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E12000001,North East,27552,30516,32905,34080,32074,30504,29994,28623,28002,27555,28304,28927,29174
E12000002,North West,31743,36362,38657,39861,37613,35440,34881,33546,32930,33019,34499,35897,36985
E12000003,Yorkshire and The Humber,33542,37928,40134,41912,39821,36605,36244,34948,34179,34119,35464,36359,37662
E12000004,East Midlands,33729,35599,36814,37920,34825,32403,31564,31293,31207,30902,32825,34347,36030
E12000005,West Midlands,36600,39463,40802,41505,39335,36357,36491,36199,35715,36141,38039,39189,41152
E12000006,East,46453,49289,51720,55153,53318,48139,50287,50423,50976,52891,56089,60591,66275
E12000007,London,78807,81339,86836,96789,96733,93883,103438,105263,107605,114711,127948,134035,148485
E12000008,South East,50954,54008,56072,61082,58412,52962,56389,55653,56319,57221,61579,65214,71349
E12000009,South West,44385,46668,49383,53051,50567,46174,47411,46881,46429,46864,49350,51513,54363
W92000004,Wales,34780,38180,39104,40938,38209,35218,34039,33721,33252,32507,34425,34518,36146
E92000001,England,51950,54416,57437,61780,59502,56445,61852,61598,63532,65655,69041,70915,73425
K04000001,England and Wales,51594,54082,57051,61270,58888,55824,61124,60884,62754,64827,68083,69945,72348
