Region code,Region name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E12000001,North East,23812,27112,29562,30999,30211,29156,29560,28109,28385,28322,28859,29210,29778
E12000002,North West,25174,28561,31577,33837,32702,31474,32346,31309,31516,31741,32951,33891,35333
E12000003,Yorkshire and The Humber,25598,28969,31792,34049,32834,31829,33031,31852,32053,32275,33514,34574,36153
E12000004,East Midlands,29801,31922,33434,35183,33647,32137,33479,32795,33168,33970,35877,37631,40090
E12000005,West Midlands,30708,32821,34967,36562,35238,33984,35901,34796,35233,35998,37638,39030,41312
E12000006,East,40832,42804,45148,48970,47538,44203,48554,47624,48659,49910,53826,58901,64606
E12000007,London,56764,58762,62938,70300,69453,66146,74759,75909,78611,83937,95117,104158,116868
E12000008,South East,47799,49547,52428,57317,56180,52239,58276,57370,58537,60515,65586,70632,77757
E12000009,South West,41196,43065,45573,49580,47510,44311,48101,47242,47716,48460,51222,54121,57605
W92000004,Wales,24926,27920,30330,32115,30580,29644,30115,29532,29597,29629,30997,31484,32768
E92000001,England,34801,37598,40467,43411,41991,40616,43779,42676,43411,44236,46359,48761,51318
K04000001,England and Wales,34207,37032,39873,42747,41292,39969,42928,41866,42564,43310,45379,47613,50019
