Region code,Region name,LA code,LA name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E12000001,North East,E06000001,Hartlepool,19348,25620,29259,31345,27768,25423,25340,22849,22448,20607,20755,20138,19832
E12000001,North East,E06000002,Middlesbrough,21385,29498,32574,30794,29434,26434,24754,25765,25738,24640,24879,26170,21851
E12000001,North East,E06000003,Redcar and Cleveland,22263,27469,27653,29644,30472,29645,27704,28968,25892,24321,26743,24240,24426
E12000001,North East,E06000004,Stockton-on-Tees,22302,27460,31144,32265,29491,29832,29384,27456,25472,24740,24915,26038,25195
E12000001,North East,E06000005,Darlington,30390,32387,31918,35353,34030,32764,32825,31615,27826,28530,28069,27855,28012
E12000001,North East,E06000047,County Durham,24625,28249,31031,31349,30016,28552,26737,26209,24627,23372,22401,22226,23324
E12000001,North East,E06000057,Northumberland,26024,29860,31864,33660,32601,29454,30601,29427,28442,26794,27677,28247,28673
E12000001,North East,E08000021,Newcastle upon Tyne,33367,34822,39013,39564,37961,34404,34225,32299,31785,31479,32638,34996,35934
E12000001,North East,E08000022,North Tyneside,28200,30265,32154,33432,31105,30086,29767,28678,29372,28624,30008,30809,32089
E12000001,North East,E08000023,South Tyneside,23640,25875,28882,31225,29183,26937,26653,25828,24577,24074,24387,24842,25493
E12000001,North East,E08000024,Sunderland,24830,27973,30366,32350,29689,29111,27503,25866,24425,24291,24521,24764,23772
E12000001,North East,E08000037,Gateshead,26344,30509,31427,33897,30850,29982,29210,26673,28203,28914,28029,27304,28322
E12000002,North West,E06000006,Halton,28066,30039,29312,31980,32730,27226,25558,26164,25797,25275,23984,24387,26402
E12000002,North West,E06000007,Warrington,36158,39357,40819,42581,39615,35864,35479,34699,35456,34302,35475,36057,36239
E12000002,North West,E06000008,Blackburn with Darwen,21201,26298,27901,28961,29588,26958,23885,25252,22521,21872,21844,22680,24121
E12000002,North West,E06000009,Blackpool,28069,34617,32921,32903,33014,27995,26506,23922,24063,23151,23020,23525,23407
E12000002,North West,E06000049,Cheshire East,38193,42019,43429,45539,43287,38518,41139,38253,37920,38812,40827,41343,43136
E12000002,North West,E06000050,Cheshire West and Chester,37192,41444,41156,41451,41162,38926,37642,36333,36180,35648,37800,39234,38347
E12000002,North West,E07000026,Allerdale,22340,28472,31743,32761,31128,30782,31378,28937,25193,26923,28867,28805,28327
E12000002,North West,E07000027,Barrow-in-Furness,17486,21532,25435,28435,28691,27184,27103,23864,25461,23655,24083,25603,26580
E12000002,North West,E07000028,Carlisle,26120,29572,32348,32789,31585,28137,29046,27760,26570,25775,26904,26699,28205
E12000002,North West,E07000029,Copeland,18923,20662,25985,28515,27599,23769,22498,21487,22446,22456,20687,23367,24978
E12000002,North West,E07000030,Eden,31327,34944,36622,37354,35952,38818,36694,36598,32970,34252,33918,39158,37065
E12000002,North West,E07000031,South Lakeland,40374,45275,47955,51587,49122,46792,44787,44895,45474,42312,45033,43796,45789
E12000002,North West,E07000117,Burnley,16351,21229,23293,24782,22252,19863,21277,21661,17882,15839,17889,17247,18748
