Region code,Region name,LA code,LA name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E12000001,North East,E06000001,Hartlepool,17076,21354,24549,27008,25960,24382,25150,23839,23335,23138,23313,23649,23175
E12000001,North East,E06000002,Middlesbrough,16932,20238,23958,25874,24734,25623,24170,23777,24240,23344,25014,25386,25446
E12000001,North East,E06000003,Redcar and Cleveland,21395,25022,27142,28398,27502,27560,27382,26543,26352,26991,27681,27657,27336
E12000001,North East,E06000004,Stockton-on-Tees,23320,26746,29190,30784,30071,28927,29367,27948,29121,28797,29568,29474,29488
E12000001,North East,E06000005,Darlington,24719,27662,29362,30852,30672,29114,30165,28450,27654,28502,29111,28794,30039
E12000001,North East,E06000047,County Durham,21434,25227,27313,28196,27552,26038,26146,24787,24673,24041,23300,23869,24312
E12000001,North East,E06000057,Northumberland,28993,32378,34796,37032,36572,34170,35632,33488,33110,33091,33997,34785,35687
E12000001,North East,E08000021,Newcastle upon Tyne,31196,32853,36206,37719,36743,35178,35691,33604,34212,34436,35702,37864,39073
E12000001,North East,E08000022,North Tyneside,29573,31984,33800,35212,33493,32073,33479,32399,33529,33913,36333,37403,38247
E12000001,North East,E08000023,South Tyneside,24948,27392,29882,31625,29928,28341,29796,27305,27562,28395,29854,30119,30749
E12000001,North East,E08000024,Sunderland,23392,25862,27671,28813,27880,26362,26799,25749,25820,25850,26420,26379,27007
E12000001,North East,E08000037,Gateshead,27123,30184,32018,34021,33026,31516,31656,30516,30806,31755,32015,32294,33064
E12000002,North West,E06000006,Halton,23958,27022,28617,29799,29424,27717,28151,27201,26780,28049,28376,28828,30212
E12000002,North West,E06000007,Warrington,32755,35817,36258,38668,36626,34211,36378,35918,36035,36426,37658,39471,40146
E12000002,North West,E06000008,Blackburn with Darwen,18736,22362,25281,28058,27162,25585,25889,24681,24802,24281,24474,25316,25780
E12000002,North West,E06000009,Blackpool,22174,24957,26752,27787,26563,24207,24456,23173,23100,22676,23175,23490,23865
E12000002,North West,E06000049,Cheshire East,35632,38845,41353,44536,42635,41095,43688,42182,41318,43209,45581,46646,49153
E12000002,North West,E06000050,Cheshire West and Chester,34128,36951,39131,40981,40233,38200,39760,38397,38783,39429,40772,42311,44274
E12000002,North West,E07000026,Allerdale,23532,28192,32044,33440,33355,32516,33314,32405,32924,32754,34058,32954,34569
E12000002,North West,E07000027,Barrow-in-Furness,16675,20175,23499,26561,25690,25655,25259,24187,24116,24973,25134,26154,28384
E12000002,North West,E07000028,Carlisle,25001,27928,30098,32329,31165,30151,31130,30292,29769,30786,30857,31839,31921
E12000002,North West,E07000029,Copeland,19295,22298,25075,27390,26482,25153,26835,25796,25625,24866,26634,26329,27110
E12000002,North West,E07000030,Eden,36359,40531,42766,43459,44144,41011,44659,42582,39615,40626,41709,42754,44198
E12000002,North West,E07000031,South Lakeland,41438,45333,48355,50959,52451,49265,51253,49755,49862,49196,51132,52642,54601
E12000002,North West,E07000117,Burnley,14278,17840,21183,24052,22882,20918,20884,19953,19662,18327,19957,19630,20747
E12000002,North West,E07000118,Chorley,29698,32178,34407,36368,35159,34637,35259,35398,35418,35408,36383,37489,37865
E12000002,North West,E07000119,Fylde,35433,38252,42098,44025,43152,40345,41956,40251,39571,40452,42411,42981,43992
E12000002,North West,E07000120,Hyndburn,16291,20527,23496,26382,26122,23695,23741,23014,23548,22628,21605,23875,25080
E12000002,North West,E07000121,Lancaster,27260,30000,32294,35019,34497,33212,34473,32186,34132,33788,35204,35334,36813
E12000002,North West,E07000122,Pendle,13586,17613,22433,25871,25207,22864,23009,22645,22728,22004,23616,23941,24830
E12000002,North West,E07000123,Preston,24161,28462,30666,33723,30891,30664,30477,28987,30598,30002,30222,31074,31909
E12000002,North West,E07000124,Ribble Valley,37918,42031,44661,50036,48177,44025,46152,46655,45145,45980,46769,46618,48345
E12000002,North West,E07000125,Rossendale,23637,29446,30010,31915,31770,29473,29252,28865,28027,28513,29036,29683,30754
E12000002,North West,E07000126,South Ribble,30343,34481,35538,37720,36235,34269,36595,34881,34697,35101,36710,36386,37123
E12000002,North West,E07000127,West Lancashire,28954,31617,33304,36553,35284,35656,36882,37100,36029,36696,36311,37196,40445
E12000002,North West,E07000128,Wyre,30287,32871,35718,37841,36398,35695,34998,33562,33056,32869,33536,34461,34656
E12000002,North West,E08000001,Bolton,22963,27428,29982,32696,31127,28887,28914,27834,27701,28533,28792,29954,31180
E12000002,North West,E08000002,Bury,27388,31015,33389,35092,33764,32075,32662,31706,31441,31552,33490,35369,37366
E12000002,North West,E08000003,Manchester,20171,24499,29238,31729,30317,28644,29917,29343,30122,30306,32579,34674,37128
E12000002,North West,E08000004,Oldham,20609,24728,28718,31118,30510,28093,29094,27445,27302,27596,29322,29327,31039
E12000002,North West,E08000005,Rochdale,23571,26710,28648,31243,29760,28166,27660,26598,27429,27306,28285,28909,30452
E12000002,North West,E08000006,Salford,23929,27087,29724,31853,30534,28655,28282,27541,28406,28208,31158,32199,35173
E12000002,North West,E08000007,Stockport,34565,37594,39686,42361,41352,38886,39901,39298,40011,40846,43345,45388,49570
E12000002,North West,E08000008,Tameside,24646,28880,31528,33900,32455,29371,29206,28854,28827,29167,30486,31782,33541
E12000002,North West,E08000009,Trafford,37592,41491,42725,45288,44320,41350,45653,44387,43843,45493,48607,53999,59249
E12000002,North West,E08000010,Wigan,22963,25885,28558,30194,28953,26369,27053,25961,25910,26536,27131,28216,29142
E12000002,North West,E08000011,Knowsley,23291,26831,28004,28909,27896,24969,25261,24426,24332,24699,25174,25852,26270
E12000002,North West,E08000012,Liverpool,19943,22834,25489,26896,25914,25119,25436,24086,24211,24438,25561,26398,26794
E12000002,North West,E08000013,St Helens,23766,26984,28588,29972,28831,26388,27512,25458,25371,25743,27192,26803,28765
E12000002,North West,E08000014,Sefton,27044,31154,33016,34311,33491,33473,33870,32166,32252,31879,32759,33015,35110
E12000002,North West,E08000015,Wirral,26048,28188,30949,32265,31252,30225,31004,31326,30784,30975,31665,32083,33963
E12000003,Yorkshire and The Humber,E06000010,City of Kingston upon Hull,14972,17838,20731,23217,22557,21252,22187,21391,21576,22341,23123,23731,25146
E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,30048,32893,34929,37103,36725,33710,34935,34357,34140,34298,35490,36760,38735
